item_number,description,tw_retail_price,tw_reseller_price,product_status,category,replacement_model,weight_kg,origin_country,search_text
TMRX8,"Snap-on 1/4"" 12角 SAE 1/4""淺爪型扳手",2700,0,Current,Snap-on 扳手系列,,0,,"TMRX8 Snap-on 1/4"" 12角 SAE 1/4""淺爪型扳手 Snap-on 扳手系列"
TMS4E,"Snap-on 1/4"" 二分 16吋快旋式手柄",2350,0,Current,Snap-on 接桿系列,,0,,"TMS4E Snap-on 1/4"" 二分 16吋快旋式手柄 Snap-on 接桿系列"
TMS4EK,"Snap-on 1/4"" 15-1/32"" 快速驅動手柄 附舒適旋鈕",2600,0,Current,Snap-on 接桿系列,,0,,"TMS4EK Snap-on 1/4"" 15-1/32"" 快速驅動手柄 附舒適旋鈕 Snap-on 接桿系列"
TMS70A,"Snap-on 1/4"" 驅動旋轉棘輪",1250,0,Current,Snap-on 零件,,0,,"TMS70A Snap-on 1/4"" 驅動旋轉棘輪 Snap-on 零件"
TMU101A,"Snap-on 二分 12角 5/16"" 通用短套筒",2400,0,Current,Snap-on 套筒系列,,0,,"TMU101A Snap-on 二分 12角 5/16"" 通用短套筒 Snap-on 套筒系列"
TMU111A,"Snap-on 1/4"" 12角 11/32"" 通用短套筒",2250,0,Current,Snap-on 套筒系列,,0,,"TMU111A Snap-on 1/4"" 12角 11/32"" 通用短套筒 Snap-on 套筒系列"
TMU121A,"Snap-on 1/4"" 12角 3/8"" 通用短套筒",2250,0,Current,Snap-on 套筒系列,,0,,"TMU121A Snap-on 1/4"" 12角 3/8"" 通用短套筒 Snap-on 套筒系列"
TMU141A,"Snap-on 1/4"" 12角 7/16"" 通用短套筒",2300,0,Current,Snap-on 套筒系列,,0,,"TMU141A Snap-on 1/4"" 12角 7/16"" 通用短套筒 Snap-on 套筒系列"
TMU161A,"Snap-on 1/4"" 12角 1/2"" 通用短套筒",2340,0,Current,Snap-on 套筒系列,,0,,"TMU161A Snap-on 1/4"" 12角 1/2"" 通用短套筒 Snap-on 套筒系列"
TMU181A,"Snap-on 1/4"" 12角 9/16"" 通用短套筒",2350,0,Current,Snap-on 套筒系列,,0,,"TMU181A Snap-on 1/4"" 12角 9/16"" 通用短套筒 Snap-on 套筒系列"
TMU71A,"Snap-on 1/4"" 12角 7/32""短萬向套筒",2250,0,Current,Snap-on 套筒系列,,0,,"TMU71A Snap-on 1/4"" 12角 7/32""短萬向套筒 Snap-on 套筒系列"
TMU81B,"Snap-on 1/4"" 12角 1/4""短萬向套筒",2250,0,Current,Snap-on 套筒系列,,0,,"TMU81B Snap-on 1/4"" 12角 1/4""短萬向套筒 Snap-on 套筒系列"
TMU8B,"Snap-on 1/4"" 1-1/8"" 萬向接頭",2750,0,Current,Snap-on 套筒系列,,0,,"TMU8B Snap-on 1/4"" 1-1/8"" 萬向接頭 Snap-on 套筒系列"
TMU91A,"Snap-on 1/4"" 12角 9/32"" 短萬向套筒",2300,0,Current,Snap-on 套筒系列,,0,,"TMU91A Snap-on 1/4"" 12角 9/32"" 短萬向套筒 Snap-on 套筒系列"
TMX1,"Snap-on 二分 1-1/4"" 延長接桿",700,0,Current,Snap-on 套筒系列,,0,,"TMX1 Snap-on 二分 1-1/4"" 延長接桿 Snap-on 套筒系列"
TMXK110,"Snap-on 二分 11"" 延長接桿",1440,0,Current,Snap-on 套筒系列,,0,,"TMXK110 Snap-on 二分 11"" 延長接桿 Snap-on 套筒系列"
TMXK140,"Snap-on 5/16"" 延長接桿",3000,0,Current,Snap-on 套筒系列,,0,,"TMXK140 Snap-on 5/16"" 延長接桿 Snap-on 套筒系列"
TMXK2,"Snap-on 二分 2"" 延長接桿",950,0,Current,Snap-on 套筒系列,,0,,"TMXK2 Snap-on 二分 2"" 延長接桿 Snap-on 套筒系列"
TMXK4,"Snap-on 二分 4"" 延長接桿",1110,0,Current,Snap-on 套筒系列,,0,,"TMXK4 Snap-on 二分 4"" 延長接桿 Snap-on 套筒系列"
TMXK60,"Snap-on 二分 6"" 延長接桿",1300,0,Current,Snap-on 套筒系列,,0,,"TMXK60 Snap-on 二分 6"" 延長接桿 Snap-on 套筒系列"
